source	t0	t1	t2	t3	t4	t5
23616	0.0645758642	0.0292538674	0.0722368964	0.0745831272	0.0619071752	0.0709744389
23623	0.2554727931	0.1748812975	0.2573373989	0.2164725245	0.2025879729	0.2328889861
23625	1.6905977985	0.9590190385	0.4882527166	0.4979239062	0.4773411989	0.7458578714
23629	0.134582938	0.0998302045	0.0212196196	0.0130079342	0.0123881737	0.0108445226
23630	0.0253352556	0.0309410496	0.0400146885	0.0605674505	0.0288487432	0.0126632108
23633	0.6494018547	0.7535625829	0.6152450158	0.5115966287	0.4946153316	0.6821119348
23635	0.2799339738	0.1180676468	0.1155628601	0.1375657197	0.1946517055	0.2113473292
23636	1.0087528597	3.6152054711	3.0020152144	2.3115309772	2.2502010997	2.6081939152
23637	0.0892931503	0.0564347489	0.0400505518	0.0449977405	0.0473041743	0.0530731468
23640	0.6924442338	2.3580524303	2.305847051	1.386128573	0.8152601857	1.0938475091
23642	4.9487914392	4.1699919803	4.6265014582	5.1687059696	4.2166083022	3.3842039529
23643	0.134220632	0.0698609754	0.077552072	0.3304040081	0.3522836364	0.2204722023
23644	0.2822481403	0.2950179097	0.3462789411	0.217731691	0.2384089852	0.2871468897
23645	0.2826049172	0.4070100481	0.239331249	0.3673121329	0.317176247	0.0800364982
23646	0.2684430964	0.0321804613	0.0605865683	0.1486020516	0.1695189638	0.1418241943
23647	0.2404349718	0.3368159648	0.4151718089	0.2787197268	0.2524853285	0.2190351039
