source	COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2
SFRS8	0.007989978726094	-0.050478529526785	0.028005252341467	0.001314182186939	2	-0.010080349874342	0.006681565499869	0.046744246762753	2	0.007433969485823	0.008854721123166	0.007000917489933
TRA2B	-0.00270151752514	-0.629630115799161	0.000235607126763	-0.001212176964545	-0.692719379179237	-0.527621143778811	-0.037381364045879	-0.532963363655826	0.103254996544263	0.002057514904614	-0.208443516929991	-0.002996030297959
SFTPC	-0.021337182055174	-0.066396098919164	-0.253859049051318	0.051020194338223	-0.221089921478745	0.059796287636637	-0.101970637891743	-0.092892015737174	-0.38998878166687	0.035082619393453	0.312611760286717	-0.005633053786066
SGCB	0.03105158931285	0.156203229141924	0.002780489250617	-0.001155149175289	0.082557166083594	0.182483661880222	0.016740564478879	0.043074050518507	-0.009243981632878	-0.004549233933447	0.0830073671364	0.031035315535648
SGK1	-0.05915460172891	-0.995454350252934	-0.036834998126411	0.04863657295529	0.358005355054178	-0.994174891559229	-0.196199439479668	0.885560337171039	1.0564042077298	0.012654325019239	-0.99675508729493	-0.041680870772974
SGSH	-0.052587756896574	-0.998263916087892	0.000437495180343	-0.030529516889611	-0.782013859931779	-0.998246167979539	-0.010707219271635	-0.99810291344054	-0.998394346226904	0.017161672010714	-0.14809883831402	-0.040195489183507
SGTA	-0.008096170223584	-0.996463995778881	-0.012876531995779	0.00021178035071	-0.430070649673703	-0.124789417621631	0.045275382704542	-0.99650543098227	-0.997546178077447	-0.00131338791362	-0.997199121858287	-0.001633485040423
SH3BGRL	-0.051209014166043	0.095280763436716	0.000969470834445	0.000764248836766	0.326595427002602	0.483546121483183	-0.069814085893625	2	-0.240099009013865	-0.001937646834555	-0.231006892785752	-0.03320377108865
SH3BP2	0.008439686654415	0.624340425385242	0.038738573208295	-0.020460394311617	2	0.433352125400801	-0.110255378889567	0.792008719478698	-0.178013503331901	-0.004363026293969	0.119070033929955	-0.021582951970942
SH3GL1	-0.009057051034697	-0.340138907996544	0.059953486166797	-0.017437137162427	-0.997954518364088	-0.998075550581015	0.074218368330213	-0.99784223227148	-0.998211845936193	0.006493188981205	-0.997928509600436	-0.007622050333215
SHC1	-0.035462929730771	-0.998333528807104	-0.044678654147409	0.010317780261285	-0.998170564943504	-0.998213247257857	-0.052979535227513	-0.998275080768781	-0.997998532927384	0.014248057261007	-0.998278243354638	-0.03623903381201
FBXW4	-0.032958616191485	-0.576932283163528	0.060470856862586	0.016677366146739	-0.995793901154211	-0.995739911482074	-0.011524534768886	-0.995721131769631	-0.994775674546198	0.005224723580178	-0.995824910282617	-0.031339549253074
SHMT1	-0.036019887001989	1.48669184011595	-0.015817956293637	-0.041148863011798	1.43234563710509	2	0.093048009537724	1.21378730267373	-0.208576889732365	0.0306097534929	0.172486868916655	-0.013869538602612
SHMT2	-0.028055776588237	0.431811877208255	-0.023468920196064	0.009977839532451	0.369378358241579	-0.136651692733791	-0.06987096954216	-0.985394761082542	0.247105500554427	-0.016084820179619	-0.41690364421136	-0.015602099091383
SIAH1	-0.012084973923498	-0.288176186886026	-0.047539074727382	0.00259754334886	-0.219116408995127	-0.283351428140372	-0.105594778987873	-0.234830604863879	0.085197550027754	-0.003083902418414	2	-0.018349206810114
SIAH2	0.011520443208783	-0.530545310410299	-0.073477519523323	-0.02120565145463	-0.521248827937437	-0.683056775365637	-0.133771527004455	-0.837956761779785	0.271867201270172	0.000999770197044	-0.143810826427536	0.004937409076937
ST6GAL1	-0.019734872810145	1.93349466999238	-0.006526319340453	0.03512106557447	2	2	0.026368712479318	2	-0.990936755754483	-0.008971928124753	-0.991437282170871	-0.018925608929628
ST3GAL1	-0.046474754009933	-0.335773722514293	-0.010978336558003	-0.02570389855683	-0.220854950944621	2	0.044804032740296	-0.350035968273812	0.241736162817948	0.011619499826726	-0.216417245698026	-0.033016391438229
ST3GAL2	0.002027343924261	0.258855081007057	0.015798262879055	-0.021877535838052	0.268222566555045	0.367453105116216	0.074248578692883	0.250586002105325	-0.236234862385463	0.002659001245563	2	0.005118639014298
ST3GAL3	-0.039702808529127	0.114542714351597	0.02572138655579	-0.002027967362909	0.157759426023748	0.144016122690888	0.12419249567424	0.098859342823002	0.046753544637289	0.010395666509171	-0.009971379999193	-0.035854978210456
SILV	0.085339910083627	-0.015772101719489	-0.037711920921734	0.034441242828163	-0.104496246981741	0.206869270873786	-0.26777286278659	-0.108588035703651	-0.301152302410766	-0.047604433234102	-0.161229515183589	0.000965254273406
SIPA1	-0.02168722114425	-0.32402335702205	0.017441269002344	-0.013588277208863	-0.991337253181184	-0.991723400818356	0.133681385159014	-0.992197056726927	0.848860075554185	0.002274322944835	-0.994881435442039	-0.011085281359116
SKI	0.000887729210394	-0.999412910814477	0.123579369905263	0.001797364883604	-0.99939153602779	-0.999352260870376	0.018982267130206	-0.999290057884721	-0.999100028873754	0.02307012110473	0.63732358588595	-0.008270823827711
SKIL	0.026374445017723	-0.803351768432212	0.19362691262239	-0.009423731579012	-0.757377301340468	-0.766924502354621	0.254814454850455	-0.706830010233921	0.224107506704915	0.007823983760751	-0.19086621799124	0.013542029322639
SKIV2L	-0.024448645412849	-0.9985217011558	-0.046279370036972	0.018285979930459	-0.9986275869133	-0.998783275145014	-0.022661166419222	-0.998499945979638	-0.998966256298913	0.007345691115688	-0.998830345806841	-0.008220442561261
SKP1	-0.005884485462111	1.26003121457636	-0.035158915262204	0.000355575796768	1.16229800329322	1.03126312379985	-0.076071918275171	1.14884990568504	1.13062488681978	0.001538702018909	0.512377768181637	-0.004630891854038
